WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
94728,20150101,39, ,27, ,33, , 0, ,10, ,26, ,32, , 0, ,0720, ,1639, , , ,0, ,M, ,0.0, ,0.00, ,29.92, ,30.07, , 5.2, ,25, ,7.1, ,31, ,250, ,17, ,260, 
94728,20150102,42, ,35, ,39, , 6, ,17, ,31, ,26, , 0, ,0720, ,1640, , , ,0, ,M, ,0.0, ,0.00, ,30.07, ,30.22, , 5.4, ,28, ,7.1, ,25, ,310, ,15, ,260, 
94728,20150103,42, ,33, ,38, , 5, ,26, ,33, ,27, , 0, ,0720, ,1641, ,RA SN BR, ,0, ,M, ,  T, ,0.71, ,30.25, ,30.43, , 3.3, ,07, ,6.4, ,18, ,070, ,12, ,080, 
94728,20150104,56, ,41, ,49, ,16, ,44, ,46, ,16, , 0, ,0720, ,1642, ,RA BR, ,0, ,M, ,0.0, ,0.30, ,29.72, ,29.82, , 3.3, ,27, ,6.4, ,46, ,260, ,29, ,280, 
94728,20150105,49, ,21, ,35, , 3, ,10, ,28, ,30, , 0, ,0720, ,1642, , , ,0, ,M, ,0.0, ,0.00, ,29.98, ,30.12, , 9.2, ,29, ,10.5, ,38, ,300, ,24, ,280, 
94728,20150106,22, ,19, ,21, ,-11, ,7, ,17, ,44, , 0, ,0720, ,1643, ,SN HZ, ,0, ,M, ,1.0, ,0.05, ,30.11, ,30.23, , 2.7, ,29, ,4.1, ,24, ,280, ,14, ,320, 
94728,20150107,23, ,9, ,16, ,-16, ,1, ,15, ,49, , 0, ,0720, ,1644, , , ,1, ,M, ,0.0, ,0.00, ,29.89, ,30.04, ,11.9, ,30, ,12.7, ,39, ,300, ,22, ,310, 
94728,20150108,21, ,8, ,15, ,-17, ,-3, ,11, ,50, , 0, ,0720, ,1645, , , ,  T, ,M, ,0.0, ,0.00, ,30.19, ,30.34, , 6.7, ,28, ,8.8, ,31, ,310, ,18, ,310, 
94728,20150109,33, ,19, ,26, ,-6, ,9, ,22, ,39, , 0, ,0720, ,1646, ,SN HZ, ,  T, ,M, ,1.5, ,0.07, ,29.90, ,30.07, ,M, ,M, ,8.8, ,30, ,290, ,21, ,280, 
94728,20150110,23, ,16, ,20, ,-12, ,0, ,15, ,45, , 0, ,0719, ,1647, , , ,1, ,M, ,0.0, ,0.00, ,30.29, ,30.44, , 6.2, ,28, ,8.1, ,25, ,230, ,18, ,250, 
