WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
94728,20140401,60, ,39, ,50, , 3, ,28, ,39, ,15, , 0, ,0540, ,1820, , , ,0, ,M, ,0.0, ,0.00, ,29.93, ,30.07, , 0.6, ,35, ,4.7, ,24, ,020, ,17, ,020, 
94728,20140402,54, ,42, ,48, , 0, ,38, ,43, ,17, , 0, ,0538, ,1821, , , ,0, ,M, ,0.0, ,0.00, ,29.93, ,30.08, , 0.7, ,21, ,1.9, ,14, ,240, ,9, ,230, 
94728,20140403,67, ,46, ,57, , 9, ,29, ,43, ,8, , 0, ,0537, ,1822, ,RA, ,0, ,M, ,0.0, ,0.07, ,29.93, ,30.07, , 0.9, ,12, ,3.7, ,15, ,190, ,10, ,190, 
94728,20140404,47, ,40, ,44, ,-4, ,36, ,40, ,21, , 0, ,0535, ,1823, ,RA BR HZ, ,0, ,M, ,0.0, ,0.21, ,29.78, ,29.96, , 5.9, ,11, ,8.4, ,23, ,140, ,15, ,090, 
94728,20140405,54, ,40, ,47, ,-2, ,29, ,39, ,18, , 0, ,0533, ,1825, ,BR, ,0, ,M, ,0.0, ,0.00, ,29.72, ,29.87, , 6.7, ,30, ,8.4, ,36, ,290, ,20, ,280, 
94728,20140406,61, ,36, ,49, , 0, ,21, ,37, ,16, , 0, ,0532, ,1826, , , ,0, ,M, ,0.0, ,0.00, ,30.02, ,30.16, , 1.8, ,27, ,4.2, ,18, ,310, ,13, ,280, 
94728,20140407,53, ,43, ,48, ,-1, ,34, ,41, ,17, , 0, ,0530, ,1827, ,RA BR HZ, ,0, ,M, ,0.0, ,0.52, ,29.82, ,30.04, , 3.3, ,11, ,6.1, ,23, ,050, ,16, ,070, 
94728,20140408,64, ,46, ,55, , 5, ,42, ,48, ,10, , 0, ,0529, ,1828, ,RA FG BR, ,0, ,M, ,0.0, ,0.34, ,29.36, ,29.51, , 4.1, ,28, ,6.9, ,30, ,250, ,17, ,290, 
94728,20140409,61, ,45, ,53, , 3, ,25, ,41, ,12, , 0, ,0527, ,1829, , , ,0, ,M, ,0.0, ,0.00, ,29.63, ,29.78, , 5.0, ,31, ,6.9, ,31, ,310, ,17, ,310, 
94728,20140410,58, ,42, ,50, , 0, ,22, ,40, ,15, , 0, ,0525, ,1830, , , ,0, ,M, ,0.0, ,0.00, ,29.96, ,30.11, , 4.1, ,20, ,7.0, ,28, ,180, ,16, ,170, 
